Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,satellite,10,NA,NA,1.0,0.5,0.22,0.07
rosame,satellite,10,NA,NA,0.2,0.0,0.22,0.0
sam,satellite,50,NA,NA,1.0,1.0,0.44,0.14
rosame,satellite,50,NA,NA,0.2,0.5,0.44,0.36
sam,satellite,100,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,100,NA,NA,0.29,0.67,0.56,0.14
sam,satellite,200,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,200,NA,NA,0.36,0.6,0.44,0.43
sam,satellite,300,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,300,NA,NA,0.5,0.55,0.56,0.43
sam,satellite,400,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,400,NA,NA,0.5,0.55,0.56,0.43
sam,satellite,1000,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,1000,NA,NA,0.4,0.53,0.44,0.64
sam,satellite,10000,NA,NA,1.0,1.0,0.67,0.21
rosame,satellite,10000,NA,NA,0.5,0.67,0.56,0.14
