algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,logistics,50,0.1,0.0,1.0,0.0,0.33
sam,logistics,50,0.2,0.0,1.0,0.0,0.33
sam,logistics,50,0.3,0.0,1.0,0.0,0.33
sam,logistics,50,0.4,0.0,1.0,0.0,0.33
sam,logistics,50,0.5,1.0,1.0,0.08,0.42
sam,logistics,100,0.1,1.0,0.75,0.08,0.5
sam,logistics,100,0.2,1.0,0.86,0.17,0.5
sam,logistics,100,0.3,1.0,1.0,0.17,0.42
sam,logistics,100,0.4,1.0,1.0,0.25,0.42
sam,logistics,100,0.5,1.0,1.0,0.25,0.42
sam,logistics,200,0.1,1.0,1.0,0.08,0.42
sam,logistics,200,0.2,1.0,1.0,0.17,0.42
sam,logistics,200,0.3,1.0,1.0,0.17,0.42
sam,logistics,200,0.4,1.0,1.0,0.25,0.5
sam,logistics,200,0.5,0.5,1.0,0.25,0.42
sam,logistics,300,0.1,1.0,1.0,0.33,0.67
sam,logistics,300,0.2,1.0,1.0,0.33,0.67
sam,logistics,300,0.3,1.0,1.0,0.33,0.67
sam,logistics,300,0.4,1.0,1.0,0.33,0.58
sam,logistics,300,0.5,0.75,1.0,0.75,0.75
sam,logistics,400,0.1,1.0,1.0,0.33,0.67
sam,logistics,400,0.2,1.0,1.0,0.33,0.67
sam,logistics,400,0.3,1.0,1.0,0.33,0.58
sam,logistics,400,0.4,1.0,1.0,0.33,0.5
sam,logistics,400,0.5,1.0,1.0,0.75,0.75
