algorithm,domain,data,Threshold,fold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,logistics,1,N/A,1,0.46,0.71,0.5,0.83
rosame,logistics,1,N/A,2,0.75,0.73,0.25,0.67
rosame,logistics,1,N/A,3,0.38,0.78,0.25,0.58
rosame,logistics,1,N/A,4,0.44,0.69,0.33,0.75
rosame,logistics,1,N/A,5,0.42,0.8,0.42,0.33
rosame,logistics,2,N/A,1,0.62,0.75,0.42,0.75
rosame,logistics,2,N/A,2,0.75,0.8,0.5,1.0
rosame,logistics,2,N/A,3,0.71,0.8,0.42,0.67
rosame,logistics,2,N/A,4,0.6,0.78,0.5,0.58
rosame,logistics,2,N/A,5,0.58,0.82,0.58,0.75
rosame,logistics,3,N/A,1,0.6,1.0,0.75,0.5
rosame,logistics,3,N/A,2,0.73,1.0,0.67,0.5
rosame,logistics,3,N/A,3,0.73,0.82,0.67,0.75
rosame,logistics,3,N/A,4,1.0,0.9,0.5,0.75
rosame,logistics,3,N/A,5,0.7,0.8,0.58,1.0
rosame,logistics,5,N/A,1,1.0,1.0,0.83,0.75
rosame,logistics,5,N/A,2,1.0,1.0,0.83,0.75
rosame,logistics,5,N/A,3,1.0,1.0,0.83,0.83
rosame,logistics,5,N/A,4,0.86,1.0,1.0,0.92
rosame,logistics,5,N/A,5,0.73,0.92,0.92,0.92
rosame,logistics,7,N/A,1,1.0,1.0,1.0,1.0
rosame,logistics,7,N/A,2,1.0,1.0,1.0,1.0
rosame,logistics,7,N/A,3,1.0,1.0,1.0,1.0
rosame,logistics,7,N/A,4,1.0,1.0,1.0,1.0
rosame,logistics,7,N/A,5,1.0,1.0,1.0,1.0
