algorithm,domain,data,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rovers,10000,1.0,0.82,0.55,0.51
sam,rovers,5000,1.0,0.82,0.55,0.51
sam,rovers,4000,1.0,0.82,0.55,0.51
sam,rovers,3000,1.0,0.82,0.55,0.51
sam,rovers,2000,1.0,0.77,0.55,0.51
sam,rovers,1000,1.0,0.74,0.52,0.51
sam,rovers,500,1.0,0.74,0.52,0.51
rosame,rovers,10000,0.86,0.26,0.4,0.2
rosame,rovers,5000,0.86,0.26,0.4,0.2
rosame,rovers,4000,0.86,0.26,0.4,0.2
rosame,rovers,3000,0.86,0.26,0.4,0.2
rosame,rovers,2000,0.86,0.26,0.4,0.2
rosame,rovers,1000,0.86,0.24,0.4,0.18
rosame,rovers,500,0.86,0.31,0.4,0.2
